MIR_ID	Rcc1_miR_prog	Rcc10_miR_nonprog	Rcc11_miR_prog	Rcc12_miR_nonprog	Rcc13_miR_nonprog	Rcc15_miR_nonprog	Rcc16_miR_nonprog	Rcc17_miR_nonprog	Rcc18_miR_nonprog	Rcc19_miR_nonprog	Rcc2_miR_prog	Rcc20_miR_nonprog	Rcc21_miR_nonprog	Rcc22_miR_nonprog	Rcc23_miR_nonprog	Rcc3_miR_prog	Rcc4_miR_nonprog	Rcc5_miR_prog	Rcc7_miR_nonprog	Rcc8_miR_prog	Rcc9_miR_prog
miR-7975-3p	371	18979	16667	4695	8428	8125.5	7010	17864	12528	17689	10662	577	17643	8715.5	12815	8188	10139	14093	2551	546	4168
miR-8069-2-3p	359	273	294	176	200	360	121	289	260	256	157	418	316	385	171	127	153	218	276	471	239
miR-615-3p	344	1274	774	752	1073	669	975	1138	1730	938	716	1244	1868	708	630	745	239	497	634	391	464
miR-1307-5p	335	825	378	376	987	288	262	775	499	283	410	744	855	318	445	249	198	235	395	196	716
miR-181a-2-5p	329	22601	11344	2925	19027	7631	6651	30033	15900	25015	10896	797	21309	6692	7212	7165	5233	14057	1953	193	1720
miR-1246-5p	316	284.5	197	183.5	211.5	226	165	256.5	268.5	158.5	394	220	235	132.5	270.5	218.5	224.5	299.5	190	143	341.5
miR-769-5p	311	600	409	454	1011	530	430	853	724	725	483	728	925	784	426	315	141	346	480	221	552
miR-1181-5p	307	1863	1857	733	954	1133	719	1595	1769	1997	883	420	2825	1366	1283	932	1040	1479	701	298	1032
miR-5100-3p	302	10105	8417	1568	3788	4068	4789	6234	5353	7527	3458	286	8945	1693	4113	4315	5024	7516	786	525	1117
miR-663a-3p	299	115	123	98	91	154	48	74	122	54	140	149	66	113	113	115	130	212	213	314	238
miR-3195-5p	297	70	67	200	111	351	50	130	150	80	129	108	164	98	166	92	67	349	207	243	213
miR-8082-3p	292	18	21	30	16	18	9	8	20	17	57	59	4	22	32	48	33	60	74	242	63
miR-126-3p	291	104544	53655	18179	62977	54069	41787	153810	93009	173295	59064	2084	142376	14053	52892	27955	33357	74795	10027	461	3215
miR-151a-3p	284	10209	6057	2487	12224	4232	3676	11496	7969	10788	5633	1175	11305	3200	4780	3205	2893	5156	2232	410	1757
miR-622-3p	282	4696	2897	1293	4383	2742	1349	4830	3027	3691	2675	742	3845	2108	1989	1214	876	2125	1703	208	878
miR-5088-3p	275	176	166	106	87	145	47	114	248	159	117	251	214	175	109	136	109	173	210	310	195
